,id,retweet_count,favorite_count
0,892420643555336193,8398,38294
1,892177421306343426,6196,32818
2,891815181378084864,4100,24714
3,891689557279858688,8528,41623
4,891327558926688256,9244,39789
5,891087950875897856,3075,19982
6,890971913173991426,2040,11696
7,890729181411237888,18635,64627
8,890609185150312448,4215,27462
9,890240255349198849,7291,31514
10,890006608113172480,7238,30276
11,889880896479866881,4914,27437
12,889665388333682689,9931,47519
13,889638837579907072,4487,26827
14,889531135344209921,2212,14912
15,889278841981685760,5315,24930
16,888917238123831296,4442,28713
17,888804989199671297,4244,25238
18,888554962724278272,3507,19603
19,888078434458587136,3452,21481
20,887705289381826560,5320,29790
21,887517139158093824,11515,45681
22,887473957103951883,17957,68238
23,887343217045368832,10273,33254
24,887101392804085760,5889,30172
25,886983233522544640,7678,34712
26,886736880519319552,3246,11899
27,886680336477933568,4407,22148
28,886366144734445568,3162,20921
29,886267009285017600,4,116
30,886258384151887873,6205,27645
31,886054160059072513,105,0
32,885984800019947520,6719,32278
33,885528943205470208,6349,35532
34,885518971528720385,3709,20175
35,885311592912609280,18368,0
36,885167619883638784,4330,21666
37,884925521741709313,18093,76542
38,884876753390489601,5597,27579
39,884562892145688576,4698,24017
40,884441805382717440,5586,26664
41,884247878851493888,20219,72154
42,884162670584377345,2950,20117
43,883838122936631299,3408,21638
44,883482846933004288,9831,45374
45,883360690899218434,3636,22306
46,883117836046086144,6599,36744
47,882992080364220416,3873,23669
48,882762694511734784,4861,27969
49,882627270321602560,6020,27572
50,882268110199369728,11464,44421
51,882045870035918850,4916,28994
52,881906580714921986,3358,24026
53,881666595344535552,10543,49968
54,881633300179243008,7,125
55,881536004380872706,15778,48855
56,881268444196462592,5111,22815
57,880935762899988482,2754,16812
58,880872448815771648,3777,21023
59,880465832366813184,6209,28203
60,880221127280381952,4171,26748
61,880095782870896641,4312,27325
62,879862464715927552,3462,22071
63,879674319642796034,10,309
64,879492040517615616,3154,23151
65,879415818425184262,43760,104674
66,879376492567855104,3092,16588
67,879130579576475649,6763,0
68,879050749262655488,4677,22323
69,879008229531029506,2669,18775
70,878776093423087618,4088,19193
71,878604707211726852,7128,29930
72,878404777348136964,1280,0
73,878316110768087041,6595,0
74,878281511006478336,1280,7663
75,878057613040115712,6763,41560
76,877736472329191424,18916,78930
77,877611172832227328,80,0
78,877556246731214848,3775,22462
79,877316821321428993,5131,27066
80,877201837425926144,5536,26810
81,876838120628539392,3316,20437
82,876537666061221889,4589,23231
83,876484053909872640,2378,18550
84,876120275196170240,4657,27614
85,875747767867523072,4263,24930
86,875144289856114688,4896,21698
87,875097192612077568,6008,27132
88,875021211251597312,4685,25207
89,874680097055178752,4614,27550
90,874434818259525634,14658,0
91,874296783580663808,4087,25813
92,874057562936811520,3937,22440
93,874012996292530176,10377,34288
94,873580283840344065,3933,24003
95,873337748698140672,1583,0
96,873213775632977920,1583,7174
97,872967104147763200,5391,27144
98,872820683541237760,3688,14595
99,872620804844003328,3691,20616
100,872486979161796608,8993,40366
101,872261713294495745,6309,33955
102,872122724285648897,8113,34205
103,871879754684805121,11180,37769
104,871762521631449091,3475,20151
105,871515927908634625,3453,20094
106,871166179821445120,5707,0
107,871102520638267392,5510,20805
108,871032628920680449,3822,22538
109,870804317367881728,6224,33453
110,870726314365509632,3,119
111,870656317836468226,2656,12362
112,870374049280663552,26310,82374
113,870308999962521604,4169,21742
114,870063196459192321,8393,36557
115,869772420881756160,10084,42302
116,869702957897576449,6376,28187
117,869596645499047938,3146,15939
118,869227993411051520,3809,20402
119,868880397819494401,14610,65616
120,868639477480148993,2113,0
121,868622495443632128,5486,26872
122,868552278524837888,2113,10142
123,867900495410671616,4214,24193
124,867774946302451713,7411,34038
125,867421006826221569,2533,16137
126,867072653475098625,123,0
127,867051520902168576,7953,32314
128,866720684873056260,4870,20143
129,866686824827068416,3531,19387
130,866450705531457537,35735,122690
131,866334964761202691,14658,52803
132,866094527597207552,8493,0
133,865718153858494464,5696,25745
134,865359393868664832,5075,26617
135,865006731092295680,7806,28174
136,864873206498414592,8861,32488
137,864279568663928832,3090,14722
138,864197398364647424,9101,30373
139,863907417377173506,4216,20778
140,863553081350529029,4250,15417
141,863471782782697472,2507,0
142,863432100342583297,5366,24005
143,863427515083354112,99,2282
144,863079547188785154,1120,8838
145,863062471531167744,2507,8608
146,862831371563274240,5185,19345
147,862722525377298433,3599,17227
148,862457590147678208,5059,20754
149,862096992088072192,23810,75360
150,861383897657036800,10933,36456
151,861288531465048066,4251,17380
152,861005113778896900,3890,16906
153,860981674716409858,2214,0
154,860924035999428608,843,0
155,860563773140209665,2214,7595
156,860524505164394496,5401,23919
157,860276583193509888,3562,18529
158,860184849394610176,5980,16903
159,860177593139703809,31663,0
160,859924526012018688,4203,19804
161,859851578198683649,3604,15602
162,859607811541651456,1614,18840
163,859196978902773760,31068,91285
164,859074603037188101,13985,34385
165,858860390427611136,8382,0
166,858843525470990336,3576,15763
167,858471635011153920,4997,21834
168,858107933456039936,3005,15974
